,SEAT_COUNT,BOARD_TYPE,SCREEN_SIZE,INPUTS,TECH_TYPE,CLASSROOM_TYPE,COMPUTER_LAB,CPT,LAST_REFRESH,CAMERA_TYPE,PODIUM_TYPE,COMPUTER,CAMERA_MIC,DISPLAY_TYPE,DISLAY_COUNT,EQUIP_LOC,ADDITIONAL_ROOM_SPECS,LCR_COST,ROOM_ID,ROOM_NAME,BUILDING_NAME
202,30,None,6-foot,"CD Player, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2009,None,Smart,PC,None,Data Projector,1,None,Windows,20000.00,5052,VN110,Van Noord
203,16,None,None,None,None,Conference Room,None,I,None,None,None,None,None,None,0,None,Windows,5000.00,5053,VN227,Van Noord
204,42,None,8-foot,"CD Player, HDMI, VGA, Audio - Line, Audio - Mic",Single Display,Classroom/Lab,None,II,2017,Document,Smart,PC,None,Data Projector,1,None,Windows,20000.00,5054,VN235,Van Noord
205,None,None,None,None,Single Display,Large Venue,None,None,2009,None,None,None,None,None,0,None,None,1222500.00,5055,VNArena,Van Noord
206,15,None,None,None,None,Classroom/Lab,None,II,None,None,None,None,None,None,0,None,None,20000.00,5056,SC160,Spoelhof Center
207,52,Whiteboard - Large,8-foot,"HDMI, Wireless Projection",Single Display,Classroom/Lab,None,II,2020,None,None,None,None,Data Projector,1,None,None,20000.00,5057,SC180,Spoelhof Center
208,None,None,None,None,None,Conference Room,None,None,None,None,None,None,None,None,0,None,None,5000.00,5058,SC201,Spoelhof Center
209,None,None,None,HDMI,Single Display,Conference Room,None,I,2013,None,None,Mac,None,Flat Screen,1,None,None,5000.00,5059,SC236,Spoelhof Center
210,None,None,None,"HDMI, VGA",Conferencing/Capture,Conference Room,None,I,2013,None,None,PC,True,Flat Screen,1,None,None,10000.00,5060,SC238,Spoelhof Center
211,None,None,None,HDMI,Single Display,Conference Room,None,I,2013,None,None,PC,None,Flat Screen,1,None,None,5000.00,5061,SC239,Spoelhof Center
212,None,None,None,HDMI,Single Display,Conference Room,None,I,2013,None,None,PC,None,Flat Screen,1,None,None,5000.00,5062,SC240,Spoelhof Center
213,None,None,None,Wireless Projection,Single Display,Conference Room,None,I,2012,None,None,None,None,Flat Screen,1,None,None,5000.00,5063,SC356A,Spoelhof Center
214,None,None,None,"HDMI, Wireless Projection",Single Display,Conference Room,None,I,2013,None,None,None,None,Flat Screen,1,None,None,5000.00,5064,SC366,Spoelhof Center
215,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2020,None,None,None,True,Flat Screen,1,None,None,20000.00,5065,SC180A,Spoelhof Center
216,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2020,None,None,None,True,Flat Screen,1,None,None,8000.00,5066,SC180B,Spoelhof Center
217,None,None,None,None,None,Conference Room,None,None,None,None,None,None,None,None,0,None,None,20000.00,5073,CM300 (Franklin Room),Commons
218,None,None,None,None,None,Small Venue,None,None,2010,None,None,None,None,None,0,None,None,24000.00,5074,Dining Hall,Knollcrest
219,None,None,None,Audio - Line,None,Small Venue,None,None,2009,None,None,None,None,None,0,None,None,40000.00,5075,HT100,Huizenga Track Center
220,None,None,None,VGA,Single Display,Conference Room,PC,I,2013,None,None,None,False,Data Projector,1,None,Printer,5000,5076,SB136A,Science Building
221,None,None,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,None,5000,5077,SB184,Science Building
222,None,None,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,None,5000,5078,SB232,Science Building
223,None,None,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,None,5000,5079,SB233,Science Building
224,21,"Whiteboard - Large, Whiteboard - Small",6-foot,VGA,Single Display,Conference Room,None,I,2010,None,None,None,False,Data Projector,1,None,None,5000,5080,SB332,Science Building
225,37,"Tack Board, Whiteboard - Large",6-foot,None,Single Display,Classroom/Lab,None,II,2010,None,None,PC,False,Data Projector,1,None,None,20000,5081,SB336,Science Building
226,None,Whiteboard - Small,None,None,Single Display,Conference Room,Mac,None,2012,None,None,PC,False,None,0,None,None,5000,5082,SB352,Science Building
227,None,None,None,HDMI,Single Display,Classroom/Lab,None,II,None,None,None,None,None,None,0,None,None,20000.00,5085,EL107,Bunker Interpretive Center
228,None,None,None,None,Single Display,Classroom/Lab,None,II,None,None,None,None,None,None,0,None,None,20000.00,5086,EL108,Bunker Interpretive Center
229,None,None,None,None,Teams Enabled,None,None,None,None,None,None,None,None,None,0,None,None,None,5232,SC385 (Pres Office),Spoelhof Center
230,None,None,None,None,Teams Enabled,Conference Room,None,None,None,None,None,None,None,None,0,None,None,None,5233,HL106,Hekman Library
231,None,None,None,None,None,Small Venue,None,None,None,None,None,None,None,None,None,None,None,None,5251,,Spoelhof Center
